,Poblacion total,Superficie,Densidad,Porcentaje de poblacion urbana,Relacion hombre-mujer,Relacion de dependencia,Viviendas individuales,Promedio de ocupantes,Porcentaje de viviendas en buen estado,Porcentaje de viviendas haciendas,Porcentaje de alfabetizacion,10 a 24 annos,25 a mes annos,Escolaridad promedio,25 a 49 annos,50 o mas annos,Porcentaje de asistencia a la educacion,Menor de 5 annos,5 a 17 annos,18 a 24 annos,25 y mas annos,Personas fuera de la fuerza de trabajo (15 annos y mas),Tasa neta de participacion,Hombres,Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida
San Jose,288054,44.61999893,6455.715081,100,89.90526295,45.71363533,81903,3.499981686,63.39450325,6.781192386,98.75840266,99.43032009,98.47701215,9.876764995,10.33264708,9.200082438,31.12624548,16.79944234,88.54844476,46.24617367,9.526969815,43.29174341,56.70825659,71.21249737,44.16824899,13.70692458,16.26674165,12.34837912,14.20775271,39.64385126,6.866659
Escazu,56509,34.49000168,1638.416853,99.27268223,89.316225,41.94318153,16565,3.402112889,74.34953215,3.797162692,98.98936279,99.44501241,98.81252657,10.90896982,11.41416378,10.10440852,29.80338571,28.71364946,90.8590935,49.90526162,7.64630863,39.29057749,60.70942251,74.02102623,49.23735506,13.75047402,19.89771541,10.42842733,14.23490064,32.47817566,8.705101
Desamparados,208411,118.2600021,1762.311823,93.55072429,92.19546834,43.91534026,57355,3.617435272,66.01168163,4.845261965,98.64267144,99.37650292,98.28509734,8.918121558,9.599269769,7.68523048,33.7450792,14.33479286,89.3297153,45.39049565,9.71945565,43.01094845,56.98905155,74.29009057,41.56414763,14.32702569,8.940027158,10.53879114,14.54097912,34.17792793,6.911342
Puriscal,33004,553.6599731,59.61059423,23.43352321,100.76647,45.60374112,9787,3.364360887,64.49371615,2.186574027,96.68485103,99.52646533,95.27051799,7.900382339,9.164923996,6.034232365,33.91256512,11.18514993,90.18232819,52.43589744,8.359084481,49.34042058,50.65957942,69.7373579,31.96866119,12.45259166,2.19670343,13.05599321,10.37147012,28.22768173,6.947992
Tarrazu,16280,297.5,54.72268908,50.31326781,98.80327268,51.38553097,4551,3.576576577,66.24917601,2.460997583,96.45316549,98.67850099,95.1155898,6.738944873,7.53837679,5.282368685,32.44957161,7.54975978,83.88206388,37.05780846,6.366330765,48.83898305,51.16101695,78.7568306,23.97375505,17.75430227,5.847665848,9.14004914,14.01719902,22.97063903,13.18392
Aserri,57892,167.1000061,346.4512142,71.13245353,95.83248765,45.24926613,16120,3.586662531,62.48759305,4.435483871,98.02315556,99.1431847,97.44563019,7.893967207,8.654883808,6.380695555,31.96304332,12.13833635,86.72526818,39.49133241,7.239973865,45.54336805,54.45663195,74.676719,35.57199519,13.96518544,4.938506184,10.82360257,13.80847095,29.96696844,5.849876
Mora,26294,162.0399933,162.2685824,45.93823686,93.62297496,43.13554709,7782,3.376638396,68.77409406,2.981238756,98.01888457,99.35229513,97.41035857,8.969219895,9.884642462,7.349350418,32.41390566,19.93281075,91.06165633,48.75866051,8.115923403,44.78299206,55.21700794,73.87822158,38.19203747,11.56949028,7.39332167,10.22286453,11.07857306,28.66759812,10.08738
Goicoechea,115084,31.5,3653.460317,98.53585207,89.23620817,43.03611822,32520,3.526107011,68.02275523,4.298892989,99.03075639,99.42471732,98.85859593,9.783725601,10.48720649,8.712400671,32.75529506,18.15372731,89.70178926,48.86547288,10.53125858,43.2066448,56.7933552,72.12252993,43.61623465,11.98861112,9.520871711,11.67842619,12.06683814,37.14431351,7.300123
Santa Ana,49123,61.41999817,799.7883664,93.15391975,91.70699344,41.24734027,14235,3.429364243,76.85282754,3.765367053,98.69888918,99.33360423,98.4362389,10.56214689,11.239747,9.186856852,30.43325809,27.57731959,90.33208084,46.54431217,7.321092279,38.22448551,61.77551449,75.93909758,49.09452736,13.78500609,18.87914012,9.867068379,13.54558964,29.76429115,10.16509
Alajuelita,77603,21.17000008,3665.706175,98.99875005,92.77374801,47.95332787,19832,3.908783784,57.58874546,8.400564744,98.55379299,99.38347719,98.10012281,8.008427846,8.658198121,6.648193669,32.76416345,11.12108966,86.32666167,36.94779116,7.585061042,43.98278781,56.01721219,74.87808538,39.28309925,16.46489104,12.93764416,11.24956509,16.47616716,36.29524693,5.808794
Vazquez de Coronado,60486,222.1999969,272.2142252,96.43057898,93.00552028,38.93329658,17155,3.517575051,73.12736811,2.541533081,99.05015198,99.53897737,98.8229729,9.922366298,10.76885952,8.417729345,35.08849323,18.76802097,92.01881742,53.96239886,11.14419278,41.6021972,58.3978028,73.92823961,44.40902208,11.00866474,4.478722349,10.15276262,11.01246569,31.33881825,8.108423
Acosta,20209,342.2399902,59.04920692,12.48948488,102.2518014,48.69398867,5871,3.435700903,60.94362119,2.691194004,95.60069646,99.22073522,93.71413437,6.685000441,7.709005947,4.989449004,33.96437118,11.03988604,89.94401825,46.25235405,7.248168094,50.43876883,49.56123117,73.03780965,25.86842105,12.22342148,1.192537978,10.15389183,9.213716661,26.53645395,4.888435
Tibas,64842,8.149999619,7956.073992,100,87.5238591,43.43036631,19160,3.377400835,70.55323591,3.611691023,98.96119929,99.54247951,98.73788541,10.32873569,11.06040411,9.338408503,31.30265929,18.92488954,90.96291137,52.74672437,10.2189781,43.9686554,56.0313446,70.41447313,43.84996461,10.74681884,10.68443293,11.50026218,11.58508374,40.10632316,7.63048
Moravia,56919,28.62000084,1988.784009,99.39036174,88.61090861,41.07718237,16874,3.359547232,78.74837027,2.613488207,99.23822575,99.50679056,99.13277764,11.05343661,11.66774164,10.09587074,33.40071121,23.35912869,92.28397945,57.82351283,10.84729589,41.32338703,58.67661297,73.3425152,46.01443333,10.69547708,8.554261319,10.65197913,10.69765808,33.9223233,8.314567
Montes de Oca,49132,15.15999985,3240.89713,100,87.36938449,35.27905504,16589,2.941889204,79.90234493,2.043522816,99.45469704,99.69204043,99.35992433,12.22352199,12.94571148,11.23478001,35.42005652,28.79537954,92.81471004,69.30455635,14.16049188,41.23096172,58.76903828,69.20096345,49.89983528,9.339292491,13.09737035,11.09867296,10.1746316,40.4177333,9.861957
Turrubares,5512,415.2900085,13.27265257,13.35268505,107.2180451,49.70124932,1679,3.272781418,44.90768314,3.513996426,94.97433704,99.36828806,92.72550921,6.441642418,7.258274552,5.2376,30.41085119,9.411764706,87.04422033,39.85815603,4.655674103,51.82676022,48.17323978,72.93898463,21.39979859,23.61546499,4.517416546,11.4658926,18.12409289,24.16422287,10.89934
