Partido\Canton,ACCION CIUDADANA,RESTAURACION NACIONAL,VOTOS NULOS,VOTOS BLANCOS,TOTAL
SAN JOSE,92639,62892,1393,315,157239
ESCAZU,21375,11489,397,92,33353
DESAMPARADOS,64700,45303,856,171,111030
PURISCAL,15003,4765,148,48,19964
TARRAZU,6106,1881,59,23,8069
ASERRI,19091,9757,247,48,29143
MORA,10115,4689,143,35,14982
GOICOECHEA,38075,24711,495,127,63408
SANTA ANA,16866,8245,229,45,25385
ALAJUELITA,16677,15720,269,46,32712
VAZQUEZ DE CORONADO,24868,14473,322,65,39728
ACOSTA,8253,2733,94,26,11106
TIBAS,24936,14048,319,71,39374
MORAVIA,21699,10874,278,51,32902
MONTES DE OCA,22960,8223,277,59,31519
TURRUBARES,1900,865,22,7,2794
DOTA,3066,693,31,16,3806
CURRIDABAT,22449,12316,359,71,35195
PEREZ ZELEDON,38275,32237,781,248,71541
LEON CORTES CASTRO,4811,1319,44,17,6191
ALAJUELA,82890,54408,1083,224,138605
SAN RAMON,30743,14207,442,109,45501
GRECIA,26401,16359,386,108,43254
SAN MATEO,2050,962,23,5,3040
ATENAS,10322,4644,97,39,15102
NARANJO,14938,7582,179,58,22757
PALMARES,15474,6146,179,37,21836
POAS,10395,5640,116,27,16178
OROTINA,5694,3613,52,16,9375
SAN CARLOS,35224,36809,678,195,72906
ZARCERO,5039,1766,75,30,6910
VALVERDE VEGA,6316,3817,78,15,10226
UPALA,6054,8913,164,42,15173
LOS CHILES,2630,3591,51,17,6289
GUATUSO,2112,4060,76,14,6262
CARTAGO,72304,19671,879,210,93064
PARAISO,26696,8139,274,53,35162
LA UNION,31815,17934,461,115,50325
JIMENEZ,6512,2213,69,12,8806
TURRIALBA,26821,11868,374,79,39142
ALVARADO,6078,1535,59,22,7694
OREAMUNO,21444,5422,257,65,27188
EL GUARCO,19716,5097,237,51,25101
HEREDIA,47822,21916,499,126,70363
BARVA,17615,7500,193,47,25355
SANTO DOMINGO,17936,7886,215,47,26084
SANTA BARBARA,12753,6716,123,46,19638
SAN RAFAEL,17955,7845,216,30,26046
SAN ISIDRO,8591,3193,101,33,11918
BELEN,10790,3345,99,24,14258
FLORES,9235,3469,114,23,12841
SAN PABLO,11434,4996,97,23,16550
SARAPIQUI,7910,11953,184,60,20107
LIBERIA,14574,11212,196,25,26007
NICOYA,15172,9735,284,53,25244
SANTA CRUZ,14825,8585,270,33,23713
BAGACES,4596,3497,60,12,8165
CARRILLO,7576,5958,123,18,13675
CANAS,5834,5307,87,20,11248
ABANGARES,4583,3486,82,18,8169
TILARAN,6187,3991,66,11,10255
NANDAYURE,3414,2103,57,15,5589
LA CRUZ,2913,3408,47,13,6381
HOJANCHA,2922,1121,34,7,4084
PUNTARENAS,23415,25957,404,77,49853
ESPARZA,7407,7159,129,28,14723
BUENOS AIRES,6474,10132,223,63,16892
MONTES DE ORO,3759,3207,57,12,7035
OSA,4183,7478,123,24,11808
QUEPOS,4838,6159,80,20,11097
GOLFITO,6007,8852,195,36,15090
COTO BRUS,8728,8142,215,57,17142
PARRITA,3123,3718,69,14,6924
CORREDORES,6286,11477,178,54,17995
GARABITO,3532,2587,65,17,6201
LIMON,12619,22695,562,97,35973
POCOCI,22648,32403,463,81,55595
SIQUIRRES,8048,14338,262,53,22701
TALAMANCA,2943,6994,165,26,10128
MATINA,2991,8675,147,24,11837
GUACIMO,6028,10494,155,35,16712
